"code","name","area","population"
1,"Ciutat Vella","4,11","103 429"
2,"Eixample","7,46","265 910"
3,"Sants-Montjuïc","22,68","184 091"
4,"Les Corts","6,02","81 974"
5,"Sarrià-Sant Gervasi","19,91","149 260"
6,"Gràcia","4,19","121 798"
7,"Horta - Guinardó","11,96","171 495"
8,"Nou Barris","8,05","170 669"
9,"Sant Andreu","6,59","149 821"
10,"Sant Martí","10,39","238 315"
